Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
"REsurety, Inc.",Software Engineer - Data Science,"Boston, MA",5.0,-1,-1,1 to 50 Employees,2012,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $5 million (USD)
University of California Office of the President,DATA ANALYTICS DEVELOPER,"Oakland, CA",3.5,$137K - $160K (Employer est.),"$148,250 /yr (est.)",1001 to 5000 Employees,1868,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Salesforce,Data Scientist - Tableau,"Seattle, WA",4.4,-1,-1,10000+ Employees,1999,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
JD.com,Data Scientist - Econ,"Mountain View, CA",3.7,-1,-1,5001 to 10000 Employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,-1
Penn State University,Statistical Assistant,"University Park, PA",4.3,-1,-1,10000+ Employees,1855,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
Snapchat,"Data Scientist, Ads Machine Learning","Mountain View, CA",4.1,-1,-1,1001 to 5000 Employees,2011,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Providence,Senior Data Scientist,"Spokane, WA",3.7,-1,-1,10000+ Employees,1855,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Providence,Senior Data Scientist,"Spokane, WA",3.7,-1,-1,10000+ Employees,1855,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Penn State University,Statistical Assistant,"University Park, PA",4.3,-1,-1,10000+ Employees,1855,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
McDonald's Corporate,"Data Scientist, Triage - McD Tech Labs","Mountain View, CA",3.5,-1,-1,10000+ Employees,1955,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
TikTok,Data Analytics Manager - Tiktok Ads,"Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Nike,DATA ANALYTICS MANAGER I (GLOBAL COMMERCIAL ANALYTICS- S&IP OPTIMIZATION),"Beaverton, OR",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
UCLA,Data Scientist,"Los Angeles, CA",4.3,-1,-1,1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Optiver US,Graduate Data Scientist (2022 Start - Chicago),"Chicago, IL",4.2,-1,-1,501 to 1000 Employees,1986,Company - Private,Stock Exchanges,Finance,$500 million to $1 billion (USD)
Apple,Data Scientist — Apple Cloud Services (R & Shiny),"San Francisco, CA",4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Stealth Mode Startup,"Data Scientist, System Analytics","Newark, CA",4.2,-1,-1,1 to 50 Employees,Unknown,Less than $1 million (USD),-1,-1,-1
"REsurety, Inc.",Software Engineer - Data Science,"Boston, MA",5.0,-1,-1,1 to 50 Employees,2012,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $5 million (USD)
World Bank Group,Economist,"Washington, DC",4.2,-1,-1,10000+ Employees,1945,Nonprofit Organization,Lending,Finance,$5 to $10 billion (USD)
Salesforce,Data Scientist - Tableau,"Seattle, WA",4.4,-1,-1,10000+ Employees,1999,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
CBRE,Data Scientist,"Richardson, TX",3.9,-1,-1,10000+ Employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable
University of California Office of the President,DATA ANALYTICS DEVELOPER,"Oakland, CA",3.5,$137K - $160K (Employer est.),"$148,250 /yr (est.)",1001 to 5000 Employees,1868,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Nike,EXPERT DATA SCIENTIST (GLOBAL COMMERCIAL ANALYTICS- S&IP OPTIMIZATION),"Beaverton, OR",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Glacier,Data Science Engineer (AI),"San Francisco, CA",3.9,-1,-1,51 to 200 Employees,Company - Public,$10 to $25 million (USD),-1,-1,-1
"Agilent Technologies, Inc.",Statistician,"Carpinteria, CA",4.3,-1,-1,10000+ Employees,1999,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
McDonald's Corporate,"Data Scientist, ML Evaluation - McD Tech Labs","Mountain View, CA",3.5,-1,-1,10000+ Employees,1955,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
McDonald's Corporate,"Data Scientist, Performance Analytics - McD Tech Labs","Mountain View, CA",3.5,-1,-1,10000+ Employees,1955,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Apple,"Data Scientist, Strategist - Apple Retail Online","Austin, TX",4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Apple,Machine Learning Data Engineer-Photos,United States,4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
BD,Data Scientist,"Franklin Lakes, NJ",3.9,-1,-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
"Infinity Consulting Solutions, Inc.","Data Scientist, Analytics - Remote","Chicago, IL",3.6,-1,-1,501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
TikTok,"Machine Learning Engineer, Risk Data Mining","Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
TARGET,Lead Data Analyst - FRS BI & Analytics,"Brooklyn Park, MN",3.7,-1,-1,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,5001 to 10000 Employees,1851,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Kimley-Horn,Data Analyst,"Baltimore, MD",4.0,-1,-1,1001 to 5000 Employees,1967,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD)
TikTok,"Data Scientist - Analytics, TikTok Ecosystem","Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
First National Bank of Omaha,"Analyst II, Data Analysis","Omaha, NE",4.1,-1,-1,1001 to 5000 Employees,1857,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
University of Wisconsin–Madison,DATA SCIENTIST,"Madison, WI",4.8,-1,-1,51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Johnson Controls,Data Engineer,"San Jose, CA",3.5,-1,-1,10000+ Employees,1885,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
Johnson Controls,Data Engineer,"San Jose, CA",3.5,-1,-1,10000+ Employees,1885,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
"Infinity Consulting Solutions, Inc.","Data Scientist, Analytics - Remote","Chicago, IL",3.6,-1,-1,501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Nike,DATA ANALYTICS MGR I,"Boston, MA",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
TARGET,Lead Data Analyst - FRS BI & Analytics,"Brooklyn Park, MN",3.7,-1,-1,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Optiver US,Graduate Data Scientist (2022 Start - Chicago),"Chicago, IL",4.2,-1,-1,501 to 1000 Employees,1986,Company - Private,Stock Exchanges,Finance,$500 million to $1 billion (USD)
